17:05:32.156 INFO  [] Mapped "{[/api/user/register],methods=[POST]}" onto public com.dataparse.server.service.user.User com.dataparse.server.controllers.UserController.register(com.dataparse.server.service.user.User) 
17:05:32.157 INFO  [] Mapped "{[/api/user/update_timezone],methods=[POST]}" onto public com.dataparse.server.service.user.User com.dataparse.server.controllers.UserController.updateUserTimezone(com.dataparse.server.controllers.api.user.UpdateTimezoneRequest) 
17:05:32.157 INFO  [] Mapped "{[/api/user/upload_avatar],methods=[POST]}" onto public com.dataparse.server.controllers.api.file.SaveAvatarResponse com.dataparse.server.controllers.UserController.uploadFile(javax.servlet.http.HttpServletRequest,java.lang.String) throws java.lang.Exception 
17:05:32.158 INFO  [] Mapped "{[/api/user/forgot-password],methods=[POST]}" onto public void com.dataparse.server.controllers.UserController.forgotPassword(com.dataparse.server.controllers.api.user.ForgotPasswordRequest) 
17:05:32.158 INFO  [] Mapped "{[/api/user/reset-password],methods=[POST]}" onto public com.dataparse.server.service.user.User com.dataparse.server.controllers.UserController.resetPassword(com.dataparse.server.controllers.api.user.ResetPasswordRequest) 
17:05:32.158 INFO  [] Mapped "{[/api/user/state/{id}],methods=[GET]}" onto public com.dataparse.server.service.user.user_state.state.UserState com.dataparse.server.controllers.UserController.getUserState(java.lang.Long) 
17:05:32.159 INFO  [] Mapped "{[/api/user/change-avatar],methods=[POST]}" onto public com.dataparse.server.service.user.User com.dataparse.server.controllers.UserController.updateUserAvatar(com.dataparse.server.controllers.api.user.ChangeAvatarRequest) 
17:05:32.175 INFO  [] Mapped "{[/api/visualization/search],methods=[POST]}" onto public com.dataparse.server.controllers.api.table.SearchIndexResponse com.dataparse.server.controllers.VisualizationController.search(com.dataparse.server.controllers.api.table.SearchIndexRequest) 
17:05:32.175 INFO  [] Mapped "{[/api/visualization/autocomplete],methods=[POST]}" onto public java.lang.String com.dataparse.server.controllers.VisualizationController.autocomplete(com.dataparse.server.controllers.api.table.AdvancedFiltersAutoCompleteRequest) 
17:05:32.176 INFO  [] Mapped "{[/api/visualization/from-filters],methods=[POST]}" onto public com.dataparse.server.controllers.api.table.FromFiltersResponse com.dataparse.server.controllers.VisualizationController.fromFilters(com.dataparse.server.controllers.api.table.FromFiltersRequest) 
17:05:32.176 INFO  [] Mapped "{[/api/visualization/refresh-filter],methods=[POST]}" onto public com.dataparse.server.service.visualization.bookmark_state.filter.Filter com.dataparse.server.controllers.VisualizationController.refreshFilter(com.dataparse.server.controllers.api.table.RefreshFilterRequest) 
17:05:32.176 INFO  [] Mapped "{[/api/visualization/to-filters],methods=[POST]}" onto public com.dataparse.server.controllers.api.table.ToFiltersResponse com.dataparse.server.controllers.VisualizationController.toFilters(com.dataparse.server.controllers.api.table.ToFiltersRequest) 
17:05:32.176 INFO  [] Mapped "{[/api/visualization/format-value],methods=[POST],produces=[text/plain]}" onto public java.lang.String com.dataparse.server.controllers.VisualizationController.formatValue(com.dataparse.server.controllers.api.table.FormatSingleValueRequest) 
17:05:38.361 INFO  [] Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500} 
17:05:38.439 INFO  [] No server chosen by ReadPreferenceServerSelector{readPreference=primary} from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, all=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
17:05:38.454 INFO  [] Opened connection [connectionId{localValue:1, serverValue:55}] to localhost:27017 
17:05:38.457 INFO  [] Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 2]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, roundTripTimeNanos=2239900} 
17:05:38.470 INFO  [] Opened connection [connectionId{localValue:2, serverValue:56}] to localhost:27017 
17:05:38.664 INFO  [] Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500} 
17:05:38.665 INFO  [] No server chosen by ReadPreferenceServerSelector{readPreference=primary} from cluster description ClusterDescription{type=UNKNOWN, connectionMode=SINGLE, all=[ServerDescription{address=localhost:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
17:05:38.675 INFO  [] Opened connection [connectionId{localValue:3, serverValue:57}] to localhost:27017 
17:05:38.677 INFO  [] Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 2]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, roundTripTimeNanos=2126200} 
17:05:38.690 INFO  [] Opened connection [connectionId{localValue:4, serverValue:58}] to localhost:27017 
17:05:38.859 INFO  [] Initializing ExecutorService  'clientInboundChannelExecutor' 
17:05:38.870 INFO  [] Initializing ExecutorService  'clientOutboundChannelExecutor' 
17:05:44.628 INFO  [] Setting server pool to a list of 1 servers: [http://localhost:9200] 
17:05:44.629 INFO  [] Using multi thread/connection supporting pooling connection manager 
17:05:44.722 INFO  [] Using default GSON instance 
17:05:44.722 INFO  [] Node Discovery disabled... 
17:05:44.723 INFO  [] Idle connection reaping disabled... 
